date,open,high,low,close,adj close,volume
2019-04-08,196.42,200.22,196.34,200.1,200.1,25872966
2018-11-09,205.55,206.01,202.25,204.47,203.597,34365800
2018-06-20,186.35,187.2,185.73,186.5,184.411,20628700
2018-01-26,172.0,172.0,170.06,171.51,168.252,39143000
2017-09-01,164.8,164.94,163.63,164.05,160.357,16591100
2017-04-11,142.94,143.35,140.06,141.63,137.333,30379400
2016-11-15,106.57,107.68,106.16,107.11,103.412,32264500
2016-06-24,92.91,94.66,92.65,93.4,89.2314,75311400
2016-02-02,95.42,96.04,94.28,94.48,89.2328,37357200
2015-09-09,113.76,114.02,109.77,110.15,103.589,85010800
2015-04-17,125.55,126.14,124.46,124.75,116.305,51957000
2014-11-20,114.91,116.86,114.85,116.31,108.01,43395500
2014-07-01,93.52,94.07,93.13,93.52,86.0434,38223000
2014-02-06,72.8657,73.3571,72.5443,73.2157,64.7433,64441300
